0,1091
0,1091
None,None
0,1090
0,1099
0,803
None,None
0,825
None,None
0,690
0,710
0,659
0,621
0,540
0,384
0,381
0,384
0,910
0,891
0,660
0,653
0,573
0,588
0,496
0,731
0,487
0,480
0,477
0,549
0,429
0,439
0,471
0,464
0,450
0,426
0,430
0,423
0,446
0,528
0,428
0,453
0,414
0,423
0,435
0,483
0,443
0,427
0,478
0,543
0,590
0,601
0,549
0,528
0,502
0,540
0,593
0,577
0,539
0,601
0,581
0,525
0,525
0,528
0,547
0,563
0,539
0,531
0,522
0,519
0,507
0,537
0,478
0,581
0,611
0,633
0,619
0,635
0,577
0,595
0,607
0,654
0,635
0,603
0,557
0,572
0,624
0,614
0,619
0,595
0,577
0,713
0,611
0,562
0,573
0,548
0,571
0,588
0,695
0,656
0,669
0,720
0,640
0,631
0,640
0,663
0,593
0,597
0,611
0,612
0,558
0,577
0,603
0,577
0,644
0,640
0,778
0,674
0,725
0,579
0,611
0,627
0,709
0,607
0,643
0,603
0,576
0,580
0,593
0,595
0,613
0,587
0,588
0,603
0,832
0,579
0,585
0,603
0,623
0,631
0,675
0,704
0,624
0,717
0,865
2332,795
2480,673
2256,597
2433,521
2387,482
2357,475
2341,444
2328,425
2320,610
2322,408
2316,345
2317,551
2313,329
2312,371
2316,314
2319,525
2320,449
2322,333
2325,312
2327,318
2334,401
2335,528
2336,387
2337,311
2342,462
2339,321
2342,304
2345,375
2344,311
2345,313
2345,368
2349,335
2350,315
2351,311
2353,320
2354,360
2355,339
2356,315
2358,314
2356,307
2361,310
2359,660
2363,695
2372,921
2373,837
2377,1005
2358,841
2360,911
2358,782
2367,700
2365,577
2365,533
2367,495
2369,496
2368,445
2373,439
2373,451
2375,435
2376,399
2375,384
2377,361
2377,406
2376,381
2379,395
2378,364
2380,359
2378,385
2378,390
2381,355
2381,363
2380,400
2381,378
2385,542
2386,368
2388,342
2388,336
2388,379
2387,336
2387,358
2389,375
2388,397
2389,367
2389,333
2392,331
2392,335
2393,371
2393,331
2392,332
None,None
2393,333
2392,368
2396,379
2398,453
2399,576
2399,674
None,None
2382,720
2384,681
2387,816
2386,733
2386,745
2387,723
2387,739
2390,748
2391,779
2389,731
2389,715
2391,719
2390,686
2391,691
2392,688
None,None
2393,718
2394,715
2395,679
2395,711
2395,700
2395,790
2393,848
2395,801
2397,816
2395,694
2396,681
2397,657
2395,610
2396,581
2397,550
2397,566
2396,562
2396,560
2396,517
2395,511
2397,584
2395,529
2395,542
2394,465
2393,424
2394,421
2394,437
2393,425
2393,403
2393,447
2392,400
2390,459
2392,451
2391,478
2389,589
2390,611
2389,482
2389,445
2389,471
2388,400
2389,484
2387,445
2387,391
2387,368
2387,397
2385,405
